Date,Symbol,Direction,Entry,Exit,Target,Stoploss,Reason,PnL
2026-06-11 20:47:31.827327,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 20:47:31.831086,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 20:47:31.835250,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 20:47:31.839954,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 20:52:40.378160,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 20:52:40.382926,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 20:52:40.385925,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 20:52:40.389780,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 21:01:28.201413,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 21:01:28.206577,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 21:01:28.209268,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 21:01:28.211427,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 21:04:32.632794,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 21:04:32.636612,BHARTIARTL-EQ,BUY,101,101.6,101.505,100.495,TARGET_HIT,0.5999999999999943
2026-06-11 21:04:32.638462,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 21:04:32.640370,BHARTIARTL-EQ,BUY,101,100.0,101.505,100.495,SL_HIT,-1.0
2026-06-11 21:04:32.642491,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 21:04:32.645718,BHARTIARTL-EQ,SELL,89,88.4,88.55499999999999,89.445,TARGET_HIT,0.5999999999999943
2026-06-11 21:04:32.648466,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 21:04:32.650074,BHARTIARTL-EQ,SELL,89,89.6,88.55499999999999,89.445,SL_HIT,-0.5999999999999943
2026-06-11 21:07:18.657867,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 21:07:18.662656,BHARTIARTL-EQ,BUY,101,101.6,101.505,100.495,TARGET_HIT,0.5999999999999943
2026-06-11 21:07:18.670327,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 21:07:18.674940,BHARTIARTL-EQ,BUY,101,100.0,101.505,100.495,SL_HIT,-1.0
2026-06-11 21:07:18.679112,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 21:07:18.681568,BHARTIARTL-EQ,SELL,89,88.4,88.55499999999999,89.445,TARGET_HIT,0.5999999999999943
2026-06-11 21:07:18.684918,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 21:07:18.695233,BHARTIARTL-EQ,SELL,89,89.6,88.55499999999999,89.445,SL_HIT,-0.5999999999999943
2026-06-11 21:10:06.614915,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 21:10:06.618896,BHARTIARTL-EQ,BUY,101,101.6,101.505,100.495,TARGET_HIT,0.5999999999999943
2026-06-11 21:10:06.624954,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 21:10:06.627788,BHARTIARTL-EQ,BUY,101,100.0,101.505,100.495,SL_HIT,-1.0
2026-06-11 21:10:06.630107,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 21:10:06.631972,BHARTIARTL-EQ,SELL,89,88.4,88.55499999999999,89.445,TARGET_HIT,0.5999999999999943
2026-06-11 21:10:06.634003,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 21:10:06.635769,BHARTIARTL-EQ,SELL,89,89.6,88.55499999999999,89.445,SL_HIT,-0.5999999999999943
2026-06-11 22:13:47.445129,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 22:13:47.453885,BHARTIARTL-EQ,BUY,101,101.6,101.505,100.495,TARGET_HIT,0.5999999999999943
2026-06-11 22:13:47.461659,BHARTIARTL-EQ,BUY,101,,101.505,100.495,OPEN,0
2026-06-11 22:13:47.466954,BHARTIARTL-EQ,BUY,101,100.0,101.505,100.495,SL_HIT,-1.0
2026-06-11 22:13:47.470789,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 22:13:47.476188,BHARTIARTL-EQ,SELL,89,88.4,88.55499999999999,89.445,TARGET_HIT,0.5999999999999943
2026-06-11 22:13:47.520427,BHARTIARTL-EQ,SELL,89,,88.55499999999999,89.445,OPEN,0
2026-06-11 22:13:47.525999,BHARTIARTL-EQ,SELL,89,89.6,88.55499999999999,89.445,SL_HIT,-0.5999999999999943
